Nombre,Estado,Longitud,Latitud
Catanamatias,Bueno,-71.40899209176347,19.04968216678585
Matayaya,Bueno,-71.58844202394849,18.883566788564433
Naranjito,Bueno,-71.49733194161863,19.284128699712824
Sabana Mula,Bueno,-71.55649783010654,19.034124312113633
Higuerito,Malo,-71.62429832861513,18.990171330170508
La Isabela,Bueno,-71.0639720522013,19.830248415622425
Bayahibe,Malo,-68.84188738409597,18.40092027055336
Angostura,Bueno,-71.39484751708007,18.26713442014255
Lago Enriquillo,Malo,-71.6981143836048,18.559285653604093
Puerto Escondido,Malo,-71.57232680644849,18.321056303079256
La Peñita,Malo,-70.27560605492654,18.455507162283848
Sabana de la Mar,Regular,-69.38908380573595,19.046048572893334
Medina,Bueno,-70.14449578241941,18.53522538174953
Cítricos Dominicanos,Malo,-70.24028287715183,18.738968655886385
Engombe,Regular,-70.00193613481875,18.449405900703745
Hato Mayor,Malo,-69.25001375941893,18.750231756555962
La Guama,Malo,-68.6611922182135,18.80965096489676
Palo de Caja,Regular,-70.40005921817928,18.53078456626454
Presa Jiguez,Regular,-70.38255477500685,18.533280892289596
Valdesia,Regular,-70.28060826119095,18.408556380785992
Comate,Malo,-69.61663754140255,18.74567728920396
Pueblo Nuevo,Malo,-70.17476823303743,18.43994688103648
Triple Ozama,Malo,-69.94047432826501,18.810299603448723
Santana,Malo,-70.21687211628483,18.278982686240237
Los Jengibres,Malo,-70.04726537519694,19.439131975441484
Higuey,Malo,-68.69901486945056,18.619920691109762
El Memiso,Bueno,-70.5715854525037,18.51421112837407
Los Arroyos,Bueno,-70.52915657657742,18.641959710675867
Naranjal,Malo,-70.47711910770818,18.54298342692382
Trepada Alta,Malo,-69.45929516993382,18.97636220036805
El Seibo,Malo,-69.04444172224544,18.76550491697898
Jarabacoa,Bueno,-70.63896264645372,19.13079580131121
La Antona,Bueno,-71.40288117704489,19.633577623646143
Matagrande,Bueno,-70.9875835346401,19.20856694019724
Boca de Mao,Malo,-71.05147222898223,19.588295085992026
El Arroyaso,Malo,-70.5322878740488,19.044961152762482
El Naranjito,Malo,-71.34350571674072,19.4744178960747
Isa,Malo,-70.74591128484296,19.446077301817336
Quinigua,Malo,-70.7736824569074,19.526633403382167
Tavera,Malo,-70.7181322217205,19.283574561551113
Constanza,Bueno,-70.71674292267141,18.91134403889928
Vallejuelo,Bueno,-71.3394896426794,18.657737244696943
Km 11 Carretera Sánchez,Malo,-71.15053394206662,18.758129413909792
Peñón Barahona,Malo,-71.18721980333125,18.296621890081752
Angelina,Bueno,-70.22229242140132,19.13080257168733
Juma-Bonao,Bueno,-70.38617657837254,18.900227161264947
Barraquito,Malo,-69.78891402846091,19.128988146604037
El Aguacate,Malo,-69.75948524268016,19.172200000553936
Los Botados,Malo,-70.57673917826233,18.870780355241696
Blanco (Presa),Regular,-70.5581200063964,18.887453468963802
Cenovi en Santa Ana,Regular,-70.34795688447832,19.294668835655777
El Limón,Regular,-69.81944803642743,19.153010068927664
José Contreras,Regular,-70.45006319344644,19.46690749161006
Presa Hatillo,Regular,-70.252830819442,18.94744770116959
Las Barias,Regular,NA,NA
Presa de Aguacate,Regular,NA,NA
Los Naranjos,Malo,NA,NA
Km 15,Malo,NA,NA
Km 15,Malo,NA,NA
Presa de  Montegrande,Malo,NA,NA
Guarey-Guaigui,Bueno,NA,NA
